Activity,Timestamp,Value
Cycle Interrupted,11/26 5:31PM,-
Clean Cycle In Progress,11/26 5:31PM,-
Pet Weight Recorded ,11/26 5:16PM,19.6 lbs
Pet Weight Recorded ,11/26 5:13PM,19.5 lbs
Pet Weight Recorded ,11/26 5:08PM,19.6 lbs
Cat Detected,11/26 5:08PM,-
Clean Cycle Complete,11/26 4:40PM,-
Clean Cycle In Progress,11/26 4:38PM,-
Pet Weight Recorded ,11/26 4:23PM,9.0 lbs
Cat Detected,11/26 4:20PM,-
Clean Cycle Complete,11/26 2:44PM,-
Clean Cycle In Progress,11/26 2:42PM,-
Cat Detected,11/26 2:16PM,-
Clean Cycle Complete,11/26 1:35PM,-
Clean Cycle In Progress,11/26 1:32PM,-
Pet Weight Recorded ,11/26 1:17PM,19.7 lbs
Pet Weight Recorded ,11/26 1:03PM,9.0 lbs
Cat Detected,11/26 1:01PM,-
Clean Cycle Complete,11/26 10:35AM,-
Clean Cycle In Progress,11/26 10:33AM,-
Pet Weight Recorded ,11/26 10:18AM,9.0 lbs
Pet Weight Recorded ,11/26 10:08AM,19.6 lbs
Cat Detected,11/26 10:08AM,-
Clean Cycle Complete,11/26 9:55AM,-
Clean Cycle In Progress,11/26 9:53AM,-
Pet Weight Recorded ,11/26 9:38AM,19.6 lbs
Pet Weight Recorded ,11/26 9:30AM,7.6 lbs
Pet Weight Recorded ,11/26 9:20AM,19.5 lbs
Pet Weight Recorded ,11/26 9:11AM,19.6 lbs
Cat Detected,11/26 9:10AM,-
Clean Cycle Complete,11/26 9:08AM,-
Cycle Interrupted,11/26 9:06AM,-
Cycle Interrupted,11/26 9:05AM,-
Clean Cycle In Progress,11/26 9:05AM,-
Pet Weight Recorded ,11/26 8:39AM,19.6 lbs
Pet Weight Recorded ,11/26 8:31AM,19.6 lbs
Pet Weight Recorded ,11/26 8:26AM,19.6 lbs
Pet Weight Recorded ,11/26 8:12AM,19.6 lbs
Pet Weight Recorded ,11/26 8:09AM,19.6 lbs
Pet Weight Recorded ,11/26 8:07AM,19.5 lbs
Pet Weight Recorded ,11/26 8:04AM,19.5 lbs
Cat Detected,11/26 8:03AM,-
Clean Cycle Complete,11/26 7:12AM,-
Clean Cycle In Progress,11/26 7:09AM,-
Pet Weight Recorded ,11/26 6:54AM,9.1 lbs
Pet Weight Recorded ,11/26 6:42AM,9.0 lbs
Cat Detected,11/26 6:40AM,-
Clean Cycle Complete,11/26 5:42AM,-
Clean Cycle In Progress,11/26 5:40AM,-
Pet Weight Recorded ,11/26 5:25AM,15.7 lbs
Cat Detected,11/26 5:22AM,-
Clean Cycle Complete,11/26 1:41AM,-
Clean Cycle In Progress,11/26 1:39AM,-
Pet Weight Recorded ,11/26 1:24AM,19.7 lbs
Pet Weight Recorded ,11/26 1:22AM,19.7 lbs
Cat Detected,11/26 1:21AM,-
Clean Cycle Complete,11/26 12:02AM,-
Clean Cycle In Progress,11/26 12:00AM,-
Pet Weight Recorded ,11/25 11:45PM,19.6 lbs
Pet Weight Recorded ,11/25 11:44PM,19.5 lbs
Cat Detected,11/25 11:43PM,-
Clean Cycle Complete,11/25 11:21PM,-
Clean Cycle In Progress,11/25 11:19PM,-
Pet Weight Recorded ,11/25 11:04PM,19.6 lbs
Pet Weight Recorded ,11/25 10:58PM,19.7 lbs
Pet Weight Recorded ,11/25 10:56PM,19.6 lbs
Pet Weight Recorded ,11/25 10:54PM,19.7 lbs
Pet Weight Recorded ,11/25 10:48PM,19.7 lbs
Cat Detected,11/25 10:47PM,-
Clean Cycle Complete,11/25 10:44PM,-
Clean Cycle In Progress,11/25 10:42PM,-
Pet Weight Recorded ,11/25 10:40PM,19.8 lbs
Pet Weight Recorded ,11/25 10:33PM,19.9 lbs
Pet Weight Recorded ,11/25 10:30PM,19.8 lbs
Pet Weight Recorded ,11/25 10:16PM,19.8 lbs
Pet Weight Recorded ,11/25 10:11PM,9.1 lbs
Pet Weight Recorded ,11/25 10:10PM,19.9 lbs
Pet Weight Recorded ,11/25 10:09PM,15.7 lbs
Pet Weight Recorded ,11/25 9:53PM,19.6 lbs
Cat Detected,11/25 9:52PM,-
Clean Cycle Complete,11/25 7:26PM,-
Clean Cycle In Progress,11/25 7:24PM,-
Cat Detected,11/25 7:08PM,-
Clean Cycle Complete,11/25 7:00PM,-
Clean Cycle In Progress,11/25 6:58PM,-
Pet Weight Recorded ,11/25 6:43PM,8.7 lbs
Cat Detected,11/25 6:43PM,-
Clean Cycle Complete,11/25 4:34PM,-
Clean Cycle In Progress,11/25 4:31PM,-
Pet Weight Recorded ,11/25 4:16PM,8.7 lbs
Cat Detected,11/25 4:15PM,-
Clean Cycle Complete,11/25 11:19AM,-
Clean Cycle In Progress,11/25 11:17AM,-
Pet Weight Recorded ,11/25 11:02AM,15.4 lbs
Cat Detected,11/25 10:57AM,-
Clean Cycle Complete,11/25 10:36AM,-
Clean Cycle In Progress,11/25 10:34AM,-
Pet Weight Recorded ,11/25 10:18AM,8.8 lbs
Cat Detected,11/25 10:17AM,-
Clean Cycle Complete,11/25 9:46AM,-
Cycle Interrupted,11/25 9:45AM,-
Clean Cycle In Progress,11/25 9:44AM,-
Pet Weight Recorded ,11/25 9:29AM,15.7 lbs
Pet Weight Recorded ,11/25 9:20AM,19.4 lbs
Pet Weight Recorded ,11/25 9:15AM,19.4 lbs
Pet Weight Recorded ,11/25 9:14AM,19.5 lbs
Cat Detected,11/25 9:13AM,-
Clean Cycle Complete,11/25 8:40AM,-
Clean Cycle In Progress,11/25 8:38AM,-
Pet Weight Recorded ,11/25 8:23AM,8.9 lbs
Cat Detected,11/25 8:21AM,-
Clean Cycle Complete,11/25 3:40AM,-
Clean Cycle In Progress,11/25 3:38AM,-
Pet Weight Recorded ,11/25 3:23AM,9.1 lbs
Cat Detected,11/25 3:20AM,-
Clean Cycle Complete,11/25 2:31AM,-
Cycle Interrupted,11/25 2:30AM,-
Clean Cycle In Progress,11/25 2:29AM,-
Pet Weight Recorded ,11/25 2:14AM,15.4 lbs
Cat Detected,11/25 2:11AM,-
Clean Cycle Complete,11/24 4:47PM,-
Clean Cycle In Progress,11/24 4:45PM,-
Pet Weight Recorded ,11/24 4:30PM,15.6 lbs
Pet Weight Recorded ,11/24 4:18PM,8.9 lbs
Cat Detected,11/24 4:17PM,-
Clean Cycle Complete,11/24 12:46PM,-
Clean Cycle In Progress,11/24 12:44PM,-
Pet Weight Recorded ,11/24 12:29PM,15.5 lbs
Cat Detected,11/24 12:26PM,-
Clean Cycle Complete,11/24 11:52AM,-
Clean Cycle In Progress,11/24 11:50AM,-
Pet Weight Recorded ,11/24 11:35AM,9.0 lbs
Cat Detected,11/24 11:32AM,-
Clean Cycle Complete,11/24 11:01AM,-
Clean Cycle In Progress,11/24 10:59AM,-
Pet Weight Recorded ,11/24 10:44AM,19.8 lbs
Cat Detected,11/24 10:43AM,-
Clean Cycle Complete,11/24 10:34AM,-
Clean Cycle In Progress,11/24 10:32AM,-
Pet Weight Recorded ,11/24 10:17AM,19.8 lbs
Pet Weight Recorded ,11/24 10:16AM,19.8 lbs
Cat Detected,11/24 10:14AM,-
Clean Cycle Complete,11/24 6:40AM,-
Clean Cycle In Progress,11/24 6:38AM,-
Pet Weight Recorded ,11/24 6:23AM,9.0 lbs
Cat Detected,11/24 6:22AM,-
Clean Cycle Complete,11/24 2:29AM,-
Clean Cycle In Progress,11/24 2:26AM,-
Pet Weight Recorded ,11/24 2:11AM,9.0 lbs
Cat Detected,11/24 2:10AM,-
Clean Cycle Complete,11/24 1:51AM,-
Pet Weight Recorded ,11/24 1:50AM,15.5 lbs
Cycle Interrupted,11/24 1:50AM,-
Clean Cycle In Progress,11/24 1:48AM,-
