Activity,Timestamp,Value
Clean Cycle Complete,9/20 3:27PM,-
Clean Cycle In Progress,9/20 3:25PM,-
Pet Weight Recorded ,9/20 3:10PM,9.3 lbs
Cat Detected,9/20 3:08PM,-
Clean Cycle Complete,9/20 11:48AM,-
Clean Cycle In Progress,9/20 11:46AM,-
Pet Weight Recorded ,9/20 11:31AM,9.3 lbs
Cat Detected,9/20 11:29AM,-
Clean Cycle Complete,9/20 9:52AM,-
Clean Cycle In Progress,9/20 9:49AM,-
Pet Weight Recorded ,9/20 9:34AM,19.3 lbs
Cat Detected,9/20 9:33AM,-
Clean Cycle Complete,9/20 6:10AM,-
Clean Cycle In Progress,9/20 6:08AM,-
Pet Weight Recorded ,9/20 5:53AM,9.3 lbs
Cat Detected,9/20 5:52AM,-
Clean Cycle Complete,9/20 1:38AM,-
Cycle Interrupted,9/20 1:37AM,-
Clean Cycle In Progress,9/20 1:35AM,-
Pet Weight Recorded ,9/20 1:20AM,15.2 lbs
Cat Detected,9/20 1:19AM,-
Clean Cycle Complete,9/20 1:11AM,-
Clean Cycle In Progress,9/20 1:09AM,-
Pet Weight Recorded ,9/20 12:53AM,19.3 lbs
Cat Detected,9/20 12:52AM,-
Clean Cycle Complete,9/20 12:40AM,-
Clean Cycle In Progress,9/20 12:38AM,-
Pet Weight Recorded ,9/20 12:18AM,19.4 lbs
Cat Detected,9/20 12:17AM,-
Clean Cycle Complete,9/19 11:24PM,-
Pet Weight Recorded ,9/19 11:24PM,15.1 lbs
Cycle Interrupted,9/19 11:21PM,-
Clean Cycle In Progress,9/19 11:20PM,-
Cat Detected,9/19 11:04PM,-
Clean Cycle Complete,9/19 9:54PM,-
Clean Cycle In Progress,9/19 9:52PM,-
Pet Weight Recorded ,9/19 9:37PM,9.3 lbs
Cat Detected,9/19 9:35PM,-
Clean Cycle Complete,9/19 8:39PM,-
Clean Cycle In Progress,9/19 8:37PM,-
Pet Weight Recorded ,9/19 8:21PM,9.3 lbs
Cat Detected,9/19 8:20PM,-
Clean Cycle Complete,9/19 8:07PM,-
Clean Cycle In Progress,9/19 8:05PM,-
Pet Weight Recorded ,9/19 7:50PM,9.3 lbs
Cat Detected,9/19 7:49PM,-
Clean Cycle Complete,9/19 2:54PM,-
Clean Cycle In Progress,9/19 2:52PM,-
Pet Weight Recorded ,9/19 2:37PM,9.3 lbs
Cat Detected,9/19 2:36PM,-
Clean Cycle Complete,9/19 12:19PM,-
Clean Cycle In Progress,9/19 12:17PM,-
Cat Detected,9/19 12:02PM,-
Clean Cycle Complete,9/19 11:24AM,-
Clean Cycle In Progress,9/19 11:22AM,-
Pet Weight Recorded ,9/19 11:07AM,9.3 lbs
Cat Detected,9/19 11:04AM,-
Clean Cycle Complete,9/19 10:31AM,-
Clean Cycle In Progress,9/19 10:29AM,-
Pet Weight Recorded ,9/19 10:14AM,15.1 lbs
Cat Detected,9/19 10:13AM,-
Clean Cycle Complete,9/19 6:42AM,-
Clean Cycle In Progress,9/19 6:40AM,-
Pet Weight Recorded ,9/19 6:22AM,9.3 lbs
Cat Detected,9/19 6:21AM,-
Clean Cycle Complete,9/19 1:50AM,-
Cycle Interrupted,9/19 1:48AM,-
Clean Cycle In Progress,9/19 1:47AM,-
Pet Weight Recorded ,9/19 1:32AM,19.4 lbs
Pet Weight Recorded ,9/19 1:31AM,19.4 lbs
Cat Detected,9/19 1:28AM,-
Clean Cycle Complete,9/19 12:24AM,-
Clean Cycle In Progress,9/19 12:22AM,-
Pet Weight Recorded ,9/19 12:06AM,15.2 lbs
Pet Weight Recorded ,9/19 12:03AM,15.2 lbs
Cat Detected,9/19 12:01AM,-
Clean Cycle Complete,9/18 11:09PM,-
Clean Cycle In Progress,9/18 11:07PM,-
Pet Weight Recorded ,9/18 10:52PM,9.4 lbs
