Activity,Timestamp,Value
Pet Weight Recorded ,6/22 1:09AM,19.6 lbs
Cat Detected,6/22 1:08AM,-
Clean Cycle Complete,6/22 12:34AM,-
Clean Cycle In Progress,6/22 12:32AM,-
Pet Weight Recorded ,6/22 12:07AM,7.6 lbs
Pet Weight Recorded ,6/22 12:06AM,19.4 lbs
Cat Detected,6/22 12:06AM,-
Clean Cycle Complete,6/21 9:10PM,-
Clean Cycle In Progress,6/21 9:08PM,-
Cat Detected,6/21 8:43PM,-
Clean Cycle Complete,6/21 8:42PM,-
Clean Cycle In Progress,6/21 8:40PM,-
Pet Weight Recorded ,6/21 8:15PM,8.9 lbs
Clean Cycle Complete,6/21 7:20PM,-
Clean Cycle In Progress,6/21 7:18PM,-
Cat Detected,6/21 6:53PM,-
Clean Cycle Complete,6/21 6:50PM,-
Pet Weight Recorded ,6/21 6:49PM,14.1 lbs
Cycle Interrupted,6/21 6:48PM,-
Clean Cycle In Progress,6/21 6:47PM,-
Cat Detected,6/21 6:21PM,-
Clean Cycle Complete,6/21 4:11PM,-
Clean Cycle In Progress,6/21 4:09PM,-
Pet Weight Recorded ,6/21 3:44PM,14.1 lbs
Pet Weight Recorded ,6/21 3:36PM,9.0 lbs
Cat Detected,6/21 3:34PM,-
Clean Cycle Complete,6/21 1:39PM,-
Cycle Interrupted,6/21 1:37PM,-
Clean Cycle In Progress,6/21 1:37PM,-
Pet Weight Recorded ,6/21 1:09PM,9.3 lbs
Pet Weight Recorded ,6/21 12:59PM,19.7 lbs
Pet Weight Recorded ,6/21 12:55PM,19.6 lbs
Pet Weight Recorded ,6/21 12:44PM,14.2 lbs
Pet Weight Recorded ,6/21 12:43PM,14.1 lbs
Cat Detected,6/21 12:42PM,-
Clean Cycle Complete,6/21 9:19AM,-
Clean Cycle In Progress,6/21 9:17AM,-
Pet Weight Recorded ,6/21 8:52AM,9.1 lbs
Cat Detected,6/21 8:51AM,-
Clean Cycle Complete,6/21 8:38AM,-
Clean Cycle In Progress,6/21 8:36AM,-
Pet Weight Recorded ,6/21 8:11AM,19.6 lbs
Cat Detected,6/21 8:10AM,-
Clean Cycle Complete,6/21 8:02AM,-
Clean Cycle In Progress,6/21 8:00AM,-
Pet Weight Recorded ,6/21 7:35AM,14.1 lbs
Cat Detected,6/21 7:34AM,-
Clean Cycle Complete,6/21 2:18AM,-
Clean Cycle In Progress,6/21 2:16AM,-
Pet Weight Recorded ,6/21 1:51AM,8.7 lbs
Cat Detected,6/21 1:50AM,-
Clean Cycle Complete,6/21 1:43AM,-
Clean Cycle In Progress,6/21 1:41AM,-
Pet Weight Recorded ,6/21 1:16AM,14.1 lbs
Cat Detected,6/21 1:14AM,-
Clean Cycle Complete,6/21 1:12AM,-
Cycle Interrupted,6/21 1:11AM,-
Clean Cycle In Progress,6/21 1:10AM,-
Cat Detected,6/21 12:45AM,-
Clean Cycle Complete,6/20 11:25PM,-
Clean Cycle In Progress,6/20 11:23PM,-
Pet Weight Recorded ,6/20 10:58PM,8.9 lbs
Cat Detected,6/20 10:57PM,-
Clean Cycle Complete,6/20 4:40PM,-
Clean Cycle In Progress,6/20 4:38PM,-
Pet Weight Recorded ,6/20 4:13PM,8.9 lbs
Cat Detected,6/20 4:10PM,-
Clean Cycle Complete,6/20 3:25PM,-
Clean Cycle In Progress,6/20 3:23PM,-
Cat Detected,6/20 2:58PM,-
Clean Cycle Complete,6/20 2:57PM,-
Cycle Interrupted,6/20 2:55PM,-
Clean Cycle In Progress,6/20 2:55PM,-
Pet Weight Recorded ,6/20 2:29PM,14.1 lbs
Cat Detected,6/20 2:29PM,-
