Activity,Timestamp,Value
Pet Weight Recorded ,2/22 10:51PM,18.8 lbs
Pet Weight Recorded ,2/22 10:39PM,16.0 lbs
Pet Weight Recorded ,2/22 10:31PM,18.7 lbs
Cat Detected,2/22 10:31PM,-
Clean Cycle Complete,2/22 9:54PM,-
Clean Cycle In Progress,2/22 9:52PM,-
Pet Weight Recorded ,2/22 9:19PM,18.6 lbs
Pet Weight Recorded ,2/22 9:10PM,18.8 lbs
Cat Detected,2/22 9:09PM,-
Clean Cycle Complete,2/22 9:06PM,-
Pet Weight Recorded ,2/22 8:16PM,18.7 lbs
Pet Weight Recorded ,2/22 6:05PM,18.8 lbs
Pet Weight Recorded ,2/22 4:54PM,16.1 lbs
Pet Weight Recorded ,2/22 4:28PM,8.6 lbs
Pet Weight Recorded ,2/22 4:19PM,18.7 lbs
Pet Weight Recorded ,2/22 2:42PM,8.6 lbs
Pet Weight Recorded ,2/22 1:56PM,18.8 lbs
Pet Weight Recorded ,2/22 1:33PM,8.7 lbs
Pet Weight Recorded ,2/22 11:41AM,18.8 lbs
Pet Weight Recorded ,2/22 10:41AM,18.6 lbs
Pet Weight Recorded ,2/22 9:33AM,18.7 lbs
Pet Weight Recorded ,2/22 8:43AM,18.5 lbs
Pet Weight Recorded ,2/22 8:30AM,8.7 lbs
Pet Weight Recorded ,2/22 8:12AM,8.5 lbs
Pet Weight Recorded ,2/22 2:28AM,8.7 lbs
Pet Weight Recorded ,2/22 2:10AM,18.8 lbs
Clean Cycle Complete,2/22 12:55AM,-
Clean Cycle In Progress,2/22 12:52AM,-
Pet Weight Recorded ,2/22 12:27AM,18.9 lbs
Pet Weight Recorded ,2/22 12:20AM,18.8 lbs
Cat Detected,2/22 12:19AM,-
Clean Cycle Complete,2/22 12:18AM,-
Pet Weight Recorded ,2/22 12:17AM,16.0 lbs
Cycle Interrupted,2/22 12:17AM,-
Clean Cycle In Progress,2/22 12:15AM,-
Pet Weight Recorded ,2/21 11:50PM,18.7 lbs
Pet Weight Recorded ,2/21 11:39PM,18.7 lbs
Cat Detected,2/21 11:38PM,-
Clean Cycle Complete,2/21 11:01PM,-
Clean Cycle In Progress,2/21 10:59PM,-
Pet Weight Recorded ,2/21 10:34PM,18.7 lbs
Cat Detected,2/21 10:16PM,-
Clean Cycle Complete,2/21 10:02PM,-
Clean Cycle In Progress,2/21 10:00PM,-
Cat Detected,2/21 9:25PM,-
Clean Cycle Complete,2/21 9:24PM,-
Cycle Interrupted,2/21 9:23PM,-
Clean Cycle In Progress,2/21 9:22PM,-
Pet Weight Recorded ,2/21 8:50PM,18.8 lbs
Pet Weight Recorded ,2/21 8:41PM,19.0 lbs
Pet Weight Recorded ,2/21 8:40PM,8.7 lbs
Pet Weight Recorded ,2/21 8:24PM,18.7 lbs
Cat Detected,2/21 8:24PM,-
Clean Cycle Complete,2/21 6:50PM,-
Clean Cycle In Progress,2/21 6:48PM,-
Pet Weight Recorded ,2/21 6:23PM,18.7 lbs
Cat Detected,2/21 6:23PM,-
Clean Cycle Complete,2/21 4:41PM,-
Clean Cycle In Progress,2/21 4:38PM,-
Pet Weight Recorded ,2/21 4:13PM,18.9 lbs
Pet Weight Recorded ,2/21 3:59PM,16.1 lbs
Pet Weight Recorded ,2/21 3:56PM,16.0 lbs
Pet Weight Recorded ,2/21 3:50PM,18.8 lbs
Pet Weight Recorded ,2/21 3:47PM,8.6 lbs
Cat Detected,2/21 3:45PM,-
Clean Cycle Complete,2/21 1:28PM,-
Clean Cycle In Progress,2/21 1:26PM,-
Pet Weight Recorded ,2/21 1:01PM,8.6 lbs
Pet Weight Recorded ,2/21 12:47PM,18.8 lbs
Cat Detected,2/21 12:46PM,-
Clean Cycle Complete,2/21 11:19AM,-
Clean Cycle In Progress,2/21 11:17AM,-
Pet Weight Recorded ,2/21 10:52AM,18.8 lbs
Pet Weight Recorded ,2/21 10:48AM,18.7 lbs
Cat Detected,2/21 10:47AM,-
Clean Cycle Complete,2/21 10:20AM,-
Clean Cycle In Progress,2/21 10:18AM,-
Pet Weight Recorded ,2/21 9:53AM,18.7 lbs
Cat Detected,2/21 9:51AM,-
Clean Cycle Complete,2/21 9:47AM,-
Clean Cycle In Progress,2/21 9:45AM,-
Pet Weight Recorded ,2/21 9:20AM,8.7 lbs
Pet Weight Recorded ,2/21 9:07AM,18.7 lbs
Pet Weight Recorded ,2/21 8:58AM,15.8 lbs
Cat Detected,2/21 8:55AM,-
Clean Cycle Complete,2/21 8:49AM,-
Clean Cycle In Progress,2/21 8:46AM,-
Pet Weight Recorded ,2/21 8:21AM,7.2 lbs
Cat Detected,2/21 8:21AM,-
Clean Cycle Complete,2/21 7:32AM,-
Clean Cycle In Progress,2/21 7:30AM,-
Pet Weight Recorded ,2/21 7:05AM,8.7 lbs
