Activity,Timestamp,Value
Pet Weight Recorded ,1/24 9:32PM,8.8 lbs
Cat Detected,1/24 9:31PM,-
Clean Cycle Complete,1/24 7:02PM,-
Clean Cycle In Progress,1/24 7:00PM,-
Pet Weight Recorded ,1/24 6:34PM,18.5 lbs
Cat Detected,1/24 6:34PM,-
Clean Cycle Complete,1/24 5:58PM,-
Clean Cycle In Progress,1/24 5:56PM,-
Pet Weight Recorded ,1/24 5:31PM,8.8 lbs
Cat Detected,1/24 5:29PM,-
Clean Cycle Complete,1/24 2:07PM,-
Clean Cycle In Progress,1/24 2:05PM,-
Pet Weight Recorded ,1/24 1:40PM,8.8 lbs
Cat Detected,1/24 1:40PM,-
Clean Cycle Complete,1/24 1:36PM,-
Pet Weight Recorded ,1/24 1:35PM,7.8 lbs
Cycle Interrupted,1/24 1:34PM,-
Clean Cycle In Progress,1/24 1:33PM,-
Pet Weight Recorded ,1/24 12:46PM,18.6 lbs
Pet Weight Recorded ,1/24 12:44PM,18.6 lbs
Cat Detected,1/24 12:44PM,-
Clean Cycle Complete,1/24 12:33PM,-
Clean Cycle In Progress,1/24 12:31PM,-
Pet Weight Recorded ,1/24 12:06PM,18.6 lbs
Cat Detected,1/24 12:05PM,-
Clean Cycle Complete,1/24 11:52AM,-
Pet Weight Recorded ,1/24 11:51AM,8.1 lbs
Cycle Interrupted,1/24 11:51AM,-
Clean Cycle In Progress,1/24 11:49AM,-
Pet Weight Recorded ,1/24 11:24AM,18.5 lbs
Pet Weight Recorded ,1/24 11:02AM,18.7 lbs
Cat Detected,1/24 11:01AM,-
Clean Cycle Complete,1/24 10:37AM,-
Pet Weight Recorded ,1/24 10:37AM,18.9 lbs
Cycle Interrupted,1/24 10:35AM,-
Pet Weight Recorded ,1/24 10:35AM,7.7 lbs
Cycle Interrupted,1/24 10:34AM,-
Cycle Interrupted,1/24 10:33AM,-
Clean Cycle In Progress,1/24 10:31AM,-
Pet Weight Recorded ,1/24 10:06AM,18.7 lbs
Pet Weight Recorded ,1/24 9:31AM,18.6 lbs
Pet Weight Recorded ,1/24 9:26AM,8.8 lbs
Pet Weight Recorded ,1/24 9:08AM,8.5 lbs
Cat Detected,1/24 9:07AM,-
Clean Cycle Complete,1/24 8:13AM,-
Clean Cycle In Progress,1/24 8:11AM,-
Cat Detected,1/24 8:11AM,-
Pet Weight Recorded ,1/24 7:33AM,18.9 lbs
Pet Weight Recorded ,1/24 7:31AM,19.0 lbs
Pet Weight Recorded ,1/24 7:25AM,18.9 lbs
Pet Weight Recorded ,1/24 7:10AM,9.2 lbs
Pet Weight Recorded ,1/24 2:08AM,18.9 lbs
Pet Weight Recorded ,1/24 12:47AM,18.9 lbs
Pet Weight Recorded ,1/24 12:45AM,18.9 lbs
Pet Weight Recorded ,1/24 12:28AM,18.8 lbs
Pet Weight Recorded ,1/24 12:25AM,16.0 lbs
Clean Cycle Complete,1/24 12:11AM,-
Clean Cycle In Progress,1/24 12:09AM,-
Pet Weight Recorded ,1/23 11:44PM,18.6 lbs
Pet Weight Recorded ,1/23 11:43PM,18.7 lbs
Pet Weight Recorded ,1/23 11:42PM,18.6 lbs
Cat Detected,1/23 11:42PM,-
